Disclaimer : Partial study of the solutions that were above 11.3 in the 20210707-125553-env-65-6537855_pop-25600-200_gen-4.json dictionary.
Stopped after a couple hours of running with less than a thousand evaluations of the solutions, from which at least 69 were scoring 11.32.
According to the dictionary, there might be more than 7000 solutions that could score that, if tested.
It might take a bit less than a couple days to run the whole thing, it might not be necessary.

20210708-121000879.out, 11.310629000002756
20210708-121010879.out, 11.320000000002786
20210708-121020879.out, 11.320000000002786
20210708-121030879.out, 11.307427000002754
20210708-121041879.out, 11.319710000002784
20210708-121051879.out, 11.320000000002786
20210708-121102879.out, 11.309368000002754
20210708-121112879.out, 11.272040000002596
20210708-121123879.out, 11.31821600000278
20210708-121133879.out, 11.317207000002776
20210708-121143879.out, 11.307738000002754
20210708-121153879.out, 11.307226000002752
20210708-121203879.out, 11.260469000002654
20210708-121214879.out, 11.319382000002786
20210708-121224879.out, 11.319834000002786
20210708-121234879.out, 11.31887800000278
20210708-121245879.out, 11.319548000002785
20210708-121255879.out, 11.320000000002786
20210708-121306879.out, 11.315871000002776
20210708-121317879.out, 11.314390000002776
20210708-121327879.out, 11.318979000002782
20210708-121337879.out, 11.319614000002785
20210708-121348879.out, 11.306124000002752
20210708-121358879.out, 11.2944640000027
20210708-121409879.out, 11.316778000002778
20210708-121420879.out, 11.319834000002786
20210708-121430879.out, 11.319548000002785
20210708-121440879.out, 11.31535000000277
20210708-121450879.out, 11.313045000002765
20210708-121502879.out, 11.314898000002769
20210708-121513879.out, 11.297750000002704
20210708-121524879.out, 11.306601000002752
20210708-121534879.out, 11.29903600000274
20210708-121545879.out, 11.320000000002786
20210708-121555879.out, 11.307738000002754
20210708-121606879.out, 11.318979000002782
20210708-121616879.out, 11.302350000002722
20210708-121626879.out, 11.308945000002755
20210708-121636879.out, 11.306991000002753
20210708-121647879.out, 11.2983900000027
20210708-121656879.out, 11.318550000002782
20210708-121707879.out, 11.313972000002774
20210708-121717879.out, 11.308893000002751
20210708-121729879.out, 11.305583000002748
20210708-121741879.out, 11.319548000002785
20210708-121754879.out, 11.307610000002754
20210708-121805879.out, 11.320000000002786
20210708-121815879.out, 11.295367000002695
20210708-121826879.out, 11.307738000002754
20210708-121837879.out, 11.319548000002785
20210708-121847879.out, 11.30060500000277
20210708-121856879.out, 11.30647200000275
20210708-121907879.out, 11.307482000002752
20210708-121917879.out, 11.312706000002763
20210708-121927879.out, 11.320000000002786
20210708-121938879.out, 11.320000000002786
20210708-121948879.out, 11.299002000002725
20210708-121958879.out, 11.320000000002786
20210708-122009879.out, 11.193946000002667
20210708-122019879.out, 11.318075000002779
20210708-122029879.out, 11.319834000002786
20210708-122040879.out, 11.302870000002722
20210708-122050879.out, 11.312090000002748
20210708-122101879.out, 11.31719900000278
20210708-122114879.out, 11.320000000002786
20210708-122126879.out, 11.306221000002761
20210708-122138879.out, 11.312236000002763
20210708-122149879.out, 11.318851000002784
20210708-122159879.out, 11.316485000002784
20210708-122209879.out, 11.315457000002773
20210708-122220879.out, 11.301125000002704
20210708-122232879.out, 11.314390000002776
20210708-122244879.out, 11.315909000002772
20210708-122257879.out, 11.319548000002785
20210708-122308879.out, 11.318813000002782
20210708-122319879.out, 11.320000000002786
20210708-122329879.out, 11.308348000002752
20210708-122340879.out, 11.312236000002763
20210708-122350879.out, 11.308997000002742
20210708-122401879.out, 11.306221000002761
20210708-122412879.out, 11.320000000002786
20210708-122422879.out, 11.319092000002783
20210708-122433879.out, 11.315457000002773
20210708-122444879.out, 11.307640000002763
20210708-122456879.out, 11.30558700000278
20210708-122508879.out, 11.320000000002786
20210708-122519879.out, 11.315924000002774
20210708-122530879.out, 11.297743000002725
20210708-122543879.out, 11.29991900000274
20210708-122554879.out, 11.30829300000275
20210708-122604879.out, 11.313520000002775
20210708-122618879.out, 11.314390000002776
20210708-122631879.out, 11.306387000002761
20210708-122644879.out, 11.307738000002754
20210708-122658879.out, 11.272488000002685
20210708-122711879.out, 11.287494000002638
20210708-122721879.out, 11.306991000002753
20210708-122731879.out, 11.318008000002779
20210708-122741879.out, 11.30558700000278
20210708-122751879.out, 11.312960000002752
20210708-122801879.out, 11.307483000002755
20210708-122811879.out, 11.286387000002637
20210708-122823879.out, 11.306991000002753
20210708-122833879.out, 11.310021000002747
20210708-122843879.out, 11.310461000002766
20210708-122853879.out, 11.310629000002756
20210708-122903879.out, 11.308779000002755
20210708-122913879.out, 11.312070000002763
20210708-122923879.out, 11.307581000002754
20210708-122933879.out, 11.31010700000275
20210708-122942879.out, 11.305913000002745
20210708-122952879.out, 11.318567000002782
20210708-123002879.out, 11.318325000002783
20210708-123012879.out, 11.319872000002785
20210708-123021879.out, 11.320000000002786
20210708-123031879.out, 11.319544000002784
20210708-123041879.out, 11.308997000002742
20210708-123051879.out, 11.255007000002646
20210708-123101879.out, 11.315796000002774
20210708-123114879.out, 11.315924000002774
20210708-123125879.out, 11.307572000002754
20210708-123135879.out, 11.308997000002742
20210708-123145879.out, 11.293406000002742
20210708-123157879.out, 11.319254000002783
20210708-123208879.out, 11.307738000002754
20210708-123219879.out, 11.253545000002642
20210708-123231879.out, 11.315558000002774
20210708-123241879.out, 11.307890000002772
20210708-123251879.out, 11.314390000002776
20210708-123301879.out, 11.320000000002786
20210708-123311879.out, 11.306372000002781
20210708-123321879.out, 11.310463000002756
20210708-123331879.out, 11.285729000002632
20210708-123343879.out, 11.290884000002679
20210708-123355879.out, 11.306598000002754
20210708-123409879.out, 11.320000000002786
20210708-123425879.out, 11.31736500000278
20210708-123436879.out, 11.317373000002776
20210708-123445879.out, 11.294107000002684
20210708-123455879.out, 11.31251000000277
20210708-123505879.out, 11.315302000002779
20210708-123515879.out, 11.318979000002782
20210708-123526879.out, 11.312236000002763
20210708-123537879.out, 11.314730000002768
20210708-123546879.out, 11.320000000002786
20210708-123556879.out, 11.314262000002776
20210708-123606879.out, 11.309262000002752
20210708-123617879.out, 11.263883000002604
20210708-123631879.out, 11.318618000002783
20210708-123641879.out, 11.319382000002786
20210708-123651879.out, 11.319548000002785
20210708-123703879.out, 11.319834000002786
20210708-123713879.out, 11.318700000002782
20210708-123724879.out, 11.297088000002681
20210708-123734879.out, 11.30471800000274
20210708-123743879.out, 11.309224000002756
20210708-123753879.out, 11.312573000002784
20210708-123802879.out, 11.320000000002786
20210708-123812879.out, 11.307724000002773
20210708-123821879.out, 11.309441000002748
20210708-123830879.out, 11.31146800000276
20210708-123840879.out, 11.30647200000275
20210708-123849879.out, 11.309202000002754
20210708-123859879.out, 11.30598100000275
20210708-123908879.out, 11.307354000002752
20210708-123917879.out, 11.296748000002685
20210708-123927879.out, 11.306202000002747
20210708-123936879.out, 11.300892000002742
20210708-123945879.out, 11.319834000002786
20210708-123955879.out, 11.320000000002786
20210708-124004879.out, 11.300892000002742
20210708-124014879.out, 11.307738000002754
20210708-124023879.out, 11.320000000002786
20210708-124033879.out, 11.318349000002781
20210708-124042879.out, 11.306991000002753
20210708-124051879.out, 11.319232000002785
20210708-124101879.out, 11.305194000002777
20210708-124110879.out, 11.320000000002786
20210708-124120879.out, 11.319710000002784
20210708-124130879.out, 11.319834000002786
20210708-124201879.out, 11.308997000002742
20210708-124219879.out, 11.312236000002763
20210708-124235879.out, 11.319420000002784
20210708-124250879.out, 11.307738000002754
20210708-124303879.out, 11.319548000002785
20210708-124314879.out, 11.287465000002724
20210708-124325879.out, 11.314390000002776
20210708-124336879.out, 11.307317000002755
20210708-124347879.out, 11.318075000002779
20210708-124358879.out, 11.314390000002776
20210708-124409879.out, 11.29903600000274
20210708-124420879.out, 11.307738000002754
20210708-124431879.out, 11.320000000002786
20210708-124442879.out, 11.315457000002773
20210708-124453879.out, 11.307610000002754
20210708-124504879.out, 11.314390000002776
20210708-124515879.out, 11.307681000002743
20210708-124527879.out, 11.318979000002782
20210708-124538879.out, 11.310501000002755
20210708-124549879.out, 11.31838700000278
20210708-124600879.out, 11.302504000002731
20210708-124611879.out, 11.314390000002776
20210708-124621879.out, 11.317970000002779
20210708-124633879.out, 11.302863000002711
20210708-124644879.out, 11.319887000002785
20210708-124655879.out, 11.311684000002764
20210708-124706879.out, 11.315457000002773
20210708-124717879.out, 11.319834000002786
20210708-124728879.out, 11.320000000002786
20210708-124739879.out, 11.263070000002607
20210708-124750879.out, 11.30848000000273
20210708-124802879.out, 11.302350000002722
20210708-124812879.out, 11.280108000002617
20210708-124823879.out, 11.319104000002783
20210708-124835879.out, 11.315628000002775
20210708-124845879.out, 11.31837800000278
20210708-124856879.out, 11.306834000002752
20210708-124907879.out, 11.308945000002755
20210708-124917879.out, 11.318813000002782
20210708-124928879.out, 11.297369000002696
20210708-124938879.out, 11.293953000002748
20210708-124948879.out, 11.319614000002785
20210708-124958879.out, 11.318422000002778
20210708-125009879.out, 11.307482000002752
20210708-125021879.out, 11.301579000002725
20210708-125032879.out, 11.307738000002754
20210708-125042879.out, 11.315585000002773
20210708-125052879.out, 11.307738000002754
20210708-125102879.out, 11.316037000002774
20210708-125114879.out, 11.306991000002753
20210708-125125879.out, 11.306261000002749
20210708-125135879.out, 11.314100000002774
20210708-125144879.out, 11.316944000002778
20210708-125154879.out, 11.30471800000274
20210708-125204879.out, 11.318567000002782
20210708-125214879.out, 11.320000000002786
20210708-125224879.out, 11.314891000002767
20210708-125234879.out, 11.316099000002778
20210708-125244879.out, 11.318384000002784
20210708-125254879.out, 11.30647200000275
20210708-125304879.out, 11.319420000002783
20210708-125313879.out, 11.306588000002751
20210708-125323879.out, 11.318964000002783
20210708-125333879.out, 11.307119000002757
20210708-125342879.out, 11.316037000002774
20210708-125353879.out, 11.293701000002677
20210708-125402879.out, 11.315871000002776
20210708-125412879.out, 11.320000000002786
20210708-125422879.out, 11.315585000002773
20210708-125432879.out, 11.311475000002748
20210708-125442879.out, 11.316613000002782
20210708-125452879.out, 11.319548000002785
20210708-125502879.out, 11.274062000002598
20210708-125512879.out, 11.314134000002776
20210708-125522879.out, 11.294665000002713
20210708-125534879.out, 11.30455200000274
20210708-125545879.out, 11.318349000002781
20210708-125557879.out, 11.306548000002753
20210708-125608879.out, 11.319887000002785
20210708-125620879.out, 11.304931000002757
20210708-125631879.out, 11.308817000002753
20210708-125643879.out, 11.315005000002772
20210708-125654879.out, 11.318813000002782
20210708-125706879.out, 11.279963000002617
20210708-125717879.out, 11.319724000002786
20210708-125729879.out, 11.308348000002752
20210708-125741879.out, 11.318979000002782
20210708-125752879.out, 11.307738000002754
20210708-125804879.out, 11.307610000002725
20210708-125815879.out, 11.319313000002781
20210708-125827879.out, 11.318590000002782
20210708-125839879.out, 11.266140000002615
20210708-125850879.out, 11.302366000002722
20210708-125902879.out, 11.286274000002637
20210708-125913879.out, 11.307738000002754
20210708-125925879.out, 11.320000000002786
20210708-125936879.out, 11.308997000002742
20210708-125948879.out, 11.318866000002783
20210708-125959879.out, 11.315909000002772
20210708-130010879.out, 11.319396000002785
20210708-130022879.out, 11.314390000002776
20210708-130033879.out, 11.319710000002784
20210708-130045879.out, 11.318866000002783
20210708-130056879.out, 11.306600000002751
20210708-130108879.out, 11.314079000002776
20210708-130119879.out, 11.307572000002754
20210708-130131879.out, 11.314100000002774
20210708-130142879.out, 11.319710000002784
20210708-130154879.out, 11.30455200000274
20210708-130205879.out, 11.318979000002782
20210708-130216879.out, 11.320000000002786
20210708-130228879.out, 11.30767800000276
20210708-130239879.out, 11.318979000002782
20210708-130251879.out, 11.319872000002785
20210708-130302879.out, 11.300677000002697
20210708-130314879.out, 11.29663600000268
20210708-130325879.out, 11.312941000002782
20210708-130337879.out, 11.31824100000278
20210708-130349879.out, 11.304903000002778
20210708-130400879.out, 11.320000000002786
20210708-130412879.out, 11.287872000002642
20210708-130423879.out, 11.319834000002786
20210708-130435879.out, 11.30642700000275
20210708-130447879.out, 11.274012000002685
20210708-130458879.out, 11.320000000002786
20210708-130510879.out, 11.319313000002781
20210708-130521879.out, 11.301624000002768
20210708-130533879.out, 11.309999000002747
20210708-130544879.out, 11.320000000002786
20210708-130556879.out, 11.316447000002782
20210708-130607879.out, 11.277118000002611
20210708-130619879.out, 11.307738000002754
20210708-130630879.out, 11.29559600000269
20210708-130642879.out, 11.302863000002711
20210708-130653879.out, 11.320000000002786
20210708-130705879.out, 11.307521000002742
20210708-130716879.out, 11.314262000002776
20210708-130728879.out, 11.306991000002753
20210708-130739879.out, 11.307738000002754
20210708-130751879.out, 11.298902000002697
20210708-130803879.out, 11.308083000002748
20210708-130814879.out, 11.319548000002785
20210708-130826879.out, 11.315871000002776
20210708-130837879.out, 11.309733000002753
20210708-130848879.out, 11.30644900000275
20210708-130900879.out, 11.238698000002723
20210708-130911879.out, 11.306299000002749
20210708-130922879.out, 11.320000000002786
20210708-130934879.out, 11.319872000002785
20210708-130945879.out, 11.307738000002754
20210708-130957879.out, 11.304612000002736
20210708-131008879.out, 11.315924000002774
20210708-131020879.out, 11.310780000002756
20210708-131031879.out, 11.314806000002774
20210708-131042879.out, 11.306387000002761
20210708-131054879.out, 11.320000000002786
20210708-131106879.out, 11.307317000002755
20210708-131117879.out, 11.320000000002786
20210708-131129879.out, 11.31304800000278
20210708-131140879.out, 11.292995000002668
20210708-131152879.out, 11.31146800000276
20210708-131203879.out, 11.304512000002708
20210708-131215879.out, 11.263183000002607
20210708-131226879.out, 11.318155000002779
20210708-131237879.out, 11.307738000002754
20210708-131249879.out, 11.314390000002776
20210708-131300879.out, 11.315093000002772
20210708-131312879.out, 11.315924000002774
20210708-131323879.out, 11.320000000002786
20210708-131335879.out, 11.317863000002772
20210708-131346879.out, 11.30678500000273
20210708-131358879.out, 11.315419000002773
20210708-131409879.out, 11.308744000002754
20210708-131421879.out, 11.309262000002752
20210708-131432879.out, 11.31798900000278
20210708-131444879.out, 11.316037000002774
20210708-131455879.out, 11.303228000002733
20210708-131507879.out, 11.306387000002761
20210708-131518879.out, 11.319872000002785
20210708-131530879.out, 11.319872000002784
20210708-131541879.out, 11.31399500000277
20210708-131552879.out, 11.261320000002604
20210708-131604879.out, 11.307738000002754
20210708-131615879.out, 11.320000000002786
20210708-131627879.out, 11.319548000002785
20210708-131638879.out, 11.304398000002735
20210708-131650879.out, 11.315165000002768
20210708-131701879.out, 11.30644900000275
20210708-131713879.out, 11.320000000002786
20210708-131724879.out, 11.30371600000273
20210708-131735879.out, 11.306422000002751
20210708-131747879.out, 11.307738000002754
20210708-131758879.out, 11.319834000002786
20210708-131810879.out, 11.294030000002676
20210708-131822879.out, 11.314730000002768
20210708-131834879.out, 11.307808000002742
20210708-131845879.out, 11.217845000002702
20210708-131857879.out, 11.318851000002784
20210708-131908879.out, 11.312236000002763
20210708-131920879.out, 11.309390000002754
20210708-131931879.out, 11.315741000002776
20210708-131943879.out, 11.298633000002729
20210708-131954879.out, 11.307738000002754
20210708-132006879.out, 11.314262000002776
20210708-132017879.out, 11.319834000002786
20210708-132029879.out, 11.307909000002754
20210708-132040879.out, 11.263073000002608
20210708-132052879.out, 11.307483000002755
20210708-132103879.out, 11.306991000002753
20210708-132115879.out, 11.308779000002755
20210708-132126879.out, 11.315544000002777
20210708-132137879.out, 11.310629000002756
20210708-132149879.out, 11.308621000002754
20210708-132200879.out, 11.30025200000274
20210708-132212879.out, 11.319887000002785
20210708-132223879.out, 11.314390000002776
20210708-132235879.out, 11.31808300000278
20210708-132246879.out, 11.309224000002756
20210708-132258879.out, 11.301956000002768
20210708-132309879.out, 11.315909000002772
20210708-132320879.out, 11.297743000002725
20210708-132332879.out, 11.320000000002786
20210708-132344879.out, 11.308703000002751
20210708-132355879.out, 11.30595800000275
20210708-132407879.out, 11.317207000002776
20210708-132418879.out, 11.307738000002754
20210708-132429879.out, 11.320000000002786
20210708-132441879.out, 11.234238000002604
20210708-132452879.out, 11.268006000002655
20210708-132506879.out, 11.319872000002785
20210708-132519879.out, 11.318614000002782
20210708-132532879.out, 11.318531000002784
20210708-132546879.out, 11.320000000002786
20210708-132600879.out, 11.319670000002786
20210708-132615879.out, 11.318813000002782
20210708-132628879.out, 11.305194000002777
20210708-132641879.out, 11.318780000002784
20210708-132651879.out, 11.301209000002768
20210708-132701879.out, 11.319887000002785
20210708-132710879.out, 11.30558700000278
20210708-132720879.out, 11.320000000002786
20210708-132730879.out, 11.292405000002733
20210708-132741879.out, 11.317827000002778
20210708-132751879.out, 11.2983900000027
20210708-132801879.out, 11.319887000002785
20210708-132811879.out, 11.319683000002785
20210708-132821879.out, 11.319420000002783
20210708-132831879.out, 11.31263800000277
20210708-132841879.out, 11.318979000002782
20210708-132850879.out, 11.320000000002786
20210708-132900879.out, 11.319872000002785
20210708-132910879.out, 11.319872000002784
20210708-132920879.out, 11.310745000002767
20210708-132930879.out, 11.317337000002777
20210708-132939879.out, 11.319872000002785
20210708-132949879.out, 11.319710000002784
20210708-132959879.out, 11.320000000002786
20210708-133009879.out, 11.318979000002782
20210708-133019879.out, 11.31838200000278
20210708-133029879.out, 11.2983900000027
20210708-133039879.out, 11.319834000002786
20210708-133049879.out, 11.310629000002756
